program,sig_gene
lipo,PLBD1
lipo,PLD3
lipo,PLD4
lipo,PLD6
lipo,PNPLA8
lipo,STARD10
lipo,STARD7
lipo,TMEM86B
lipo,ACSBG1
lipo,ACSM1
lipo,ADCY1
lipo,GNAS
lipo,PPP2CA
lipo,PRKACB
lipo,PRKACG
lipo,PRKAR1A
lipo,PRKAR1B
lipo,PRKAR2A
lipo,PRKAR2B
lipo,MLX
lipo,PKLR
lipo,ADIPOQ
lipo,ADIPOR1
lipo,ADIPOR2
lipo,STK11
lipo,AUP1
lipo,BSCL2
lipo,CIDEC
lipo,FAF2
lipo,FITM1
lipo,LDAF1
lipo,PPIA
lipo,PPID
lipo,PTGFRN
lipo,RAB18
lipo,RAB3GAP1
lipo,RNF213
lipo,SMIM22
lipo,SPART
lipo,TBC1D20
lipo,TSPO2
lipo,ZFYVE1
thermo,ACOT11
thermo,ACSF2
thermo,AL139383.1
thermo,CDK6
thermo,DPP6
thermo,EBF2
thermo,EHHADH
thermo,KCNJ3
thermo,LRBA
thermo,LSAMP
thermo,MPPED2
thermo,PLCL2
thermo,POLN
thermo,PPP2R5A
thermo,PTPRS
thermo,RAPGEF4
thermo,RBMS1
thermo,RNLS
thermo,SEMA6D
thermo,TLE1
thermo,WDR86
thermo,ZNF804A
thermo,ADRB1
thermo,ADBR2
thermo,ADRB3
thermo,PPARGC1A
thermo,UCP1
thermo,CITED1
thermo,TBX1
thermo,TMEM26
thermo,NDUFS1
thermo,NDUFS2
thermo,NDUFS3
thermo,NDUFB8
thermo,SDHA
thermo,SDHB
thermo,UQCRC2
thermo,UQCRCH
thermo,COX4I1
thermo,COX5B
thermo,COX6A1
thermo,COX7C
thermo,COX8A
thermo,ATP5B
thermo,PRDM16
thermo,CPT1B
thermo,ACSL1
thermo,ACSL3
thermo,ACSL4
thermo,ACSL5
thermo,ACSL6
thermo,ACTB
thermo,ACTG1
thermo,ACTL6A
thermo,ACTL6B
thermo,ADCY1
thermo,ADCY10
thermo,ADCY2
thermo,ADCY3
thermo,ADCY4
thermo,ADCY5
thermo,ADCY6
thermo,ADCY7
thermo,ADCY8
thermo,ADCY9
thermo,AKT1S1
thermo,ARID1A
thermo,ARID1B
thermo,ATF2
thermo,BMP8A
thermo,BMP8B
thermo,CNR1
thermo,CPT1A
thermo,CPT1C
thermo,CPT2
thermo,CREB1
thermo,CREB3
thermo,CREB3L1
